zone_id,lat,lon,display_name,road,suburb,district,city,postcode,address_short
1,22.54041,114.103,"嘉宾路, 蔡屋围, 新围社区, 桂园街道, 罗湖区, 深圳市, 广东省, 518000, 中国",嘉宾路,桂园街道,N/A,罗湖区,518000,"嘉宾路, N/A, Shenzhen"
3,22.55127,114.1208,"翠园街, 螺岭社区, 东门街道, 罗湖区, 深圳市, 广东省, 518000, 中国",翠园街,东门街道,N/A,罗湖区,518000,"翠园街, N/A, Shenzhen"
5,22.54486,114.1304,"沿河南路, 文华社区, 黄贝街道, 罗湖区, 深圳市, 广东省, 518000, 中国",沿河南路,黄贝街道,N/A,罗湖区,518000,"沿河南路, N/A, Shenzhen"
6,22.55403,114.1315,"黄贝路, 怡景社区, 黄贝街道, 罗湖区, 深圳市, 广东省, 518000, 中国",黄贝路,黄贝街道,N/A,罗湖区,518000,"黄贝路, N/A, Shenzhen"
7,22.56388,114.143,"三孔桥, 水库社区, 黄贝街道, 罗湖区, 深圳市, 广东省, 518000, 中国",三孔桥,黄贝街道,N/A,罗湖区,518000,"三孔桥, N/A, Shenzhen"
8,22.54906,114.1434,"运发江洲大厦, 108, 罗芳路, 新兴社区, 黄贝街道, 罗湖区, 深圳市, 广东省, 518000, 中国",罗芳路,黄贝街道,N/A,罗湖区,518000,"罗芳路, N/A, Shenzhen"
9,22.5638,114.1278,"主园路, 翠岭社区, 翠竹街道, 罗湖区, 深圳市, 广东省, 518000, 中国",主园路,翠竹街道,N/A,罗湖区,518000,"主园路, N/A, Shenzhen"
10,22.56839,114.1143,"5, 洪湖西路, 洪湖, 北站社区, 笋岗街道, 罗湖区, 深圳市, 广东省, 518000, 中国",洪湖西路,笋岗街道,N/A,罗湖区,518000,"洪湖西路, N/A, Shenzhen"
13,22.58204,114.1498,"翠鹏社区, 东湖街道, 罗湖区, 深圳市, 广东省, 518000, 中国",N/A,东湖街道,N/A,罗湖区,518000,"N/A, Shenzhen"
14,22.5889,114.183,"鲲鹏径, 梧桐山社区, 东湖街道, 罗湖区, 深圳市, 广东省, 518000, 中国",鲲鹏径,东湖街道,N/A,罗湖区,518000,"鲲鹏径, N/A, Shenzhen"
15,22.55627,114.0532,"莲花西径, 福新社区, 莲花街道, 福田区, 深圳市, 广东省, 518000, 中国",莲花西径,莲花街道,N/A,福田区,518000,"莲花西径, N/A, Shenzhen"
17,22.5636,114.0622,"彩田路, 彩虹社区, 莲花街道, 福田区, 深圳市, 广东省, 518000, 中国",彩田路,莲花街道,N/A,福田区,518000,"彩田路, N/A, Shenzhen"
18,22.55055,114.0649,"1栋, 红荔路, 莲花三村社区, 华富街道, 福田区, 深圳市, 广东省, 518000, 中国",红荔路,华富街道,N/A,福田区,518000,"红荔路, N/A, Shenzhen"
19,22.53743,114.0652,"34栋, 福华路, 福山社区, 福田街道, 福田区, 深圳市, 广东省, 518000, 中国",福华路,福田街道,N/A,福田区,518000,"福华路, N/A, Shenzhen"
20,22.56371,114.0938,"八卦七路, 八卦岭工业区五区, 华林社区, 园岭街道, 福田区, 深圳市, 广东省, 518000, 中国",八卦七路,园岭街道,N/A,福田区,518000,"八卦七路, N/A, Shenzhen"
25,22.56655,114.0751,"探幽径, 华山社区, 华富街道, 福田区, 深圳市, 广东省, 518000, 中国",探幽径,华富街道,N/A,福田区,518000,"探幽径, N/A, Shenzhen"
26,22.54714,114.0711,"振华西路, 田面社区, 华富街道, 福田区, 深圳市, 广东省, 518000, 中国",振华西路,华富街道,N/A,福田区,518000,"振华西路, N/A, Shenzhen"
27,22.52743,114.0249,"上沙椰树路, 椰树村, 上沙社区, 沙头街道, 福田区, 深圳市, 广东省, 518000, 中国",上沙椰树路,沙头街道,N/A,福田区,518000,"上沙椰树路, N/A, Shenzhen"
28,22.50937,114.0478,"市花路, 福田保税区, 福保社区, 福保街道, 福田区, 深圳市, 广东省, 518000, 中国",市花路,福田保税区,N/A,福田区,518000,"市花路, N/A, Shenzhen"
29,22.52417,114.0698,"C, 百合三路, 口岸社区, 福田街道, 福田区, 深圳市, 广东省, 518000, 中国",百合三路,福田街道,N/A,福田区,518000,"百合三路, N/A, Shenzhen"
30,22.53302,114.0042,"白石路, 金城社区, 沙头街道, 福田区, 深圳市, 广东省, 518000, 中国",白石路,沙头街道,N/A,福田区,518000,"白石路, N/A, Shenzhen"
31,22.53539,114.0218,"苍松大厦, 25, 泰然七路, 泰然社区, 天安社区, 沙头街道, 福田区, 深圳市, 广东省, 518000, 中国",泰然七路,沙头街道,N/A,福田区,518000,"泰然七路, N/A, Shenzhen"
32,22.53703,114.0356,"深圳高尔夫俱乐部, 滨河大道, 新沙社区, 沙头街道, 福田区, 深圳市, 广东省, 518000, 中国",滨河大道,沙头街道,N/A,福田区,518000,"滨河大道, N/A, Shenzhen"
33,22.5753,114.0261,"二线公路, 龙尾社区, 梅林街道, 福田区, 深圳市, 广东省, 518000, 中国",二线公路,梅林街道,N/A,福田区,518000,"二线公路, N/A, Shenzhen"
